kode,perawatan
1,Menekan perkembangan penyakit hawar daun bakteri disarankan tidak memupuk tanaman dengan Nitrogen secara berlebihan, gunakan pupuk Kalium dan tidak menggenangi pertanaman secara terus menerus, sebaiknya pengairan dilakukan secara berselang (intermiten).
2,penyemprotan minyak mineral secara kontinyu
3,melakukan pemupukan berimbang
4,pemupukan yang seimbang
5,melakukan budidaya yang baik dan benar sesuai dengan prosedur
6,menanam tanaman perangkap jarak pagar
7,membongkar tanaman dan melakukan peremajaan kembali
8,memberikan mulsa plastik bening/transparan supaya penyakit fusarium mati
9,memanfaatkan fungisida hayati dari abu dapur
10,Penanaman dengan varietas yang tahan terhadap penyakit ini
11,memanfaatkan ekstrak biji sirsak sebagai pemberantas hama krepes
12,melakukan penyiraman dengan konsisten dan selalu menjaga suhu serta kelembapan ruangan
13,Pohon yang sakit dibongkar sampai ke akarnya dan dibakar
14,Penyemprotan fungisida misalnya dengan Dithane M-45 0,2%
